fileName,objectName,frequency,extension
2419-001B.fit,2419-001,Blue,fit
2-001B.fit,2-001,Blue,fit
1st-RGB.fit,1st-RG,Blue,fit
1NGC7023-004B.fit,1NGC7023-004,Blue,fit
1NGC7023-003B.fit,1NGC7023-003,Blue,fit
1NGC7023-002B.fit,1NGC7023-002,Blue,fit
1NGC7023-001B.fit,1NGC7023-001,Blue,fit
trio-002G.fit,trio-002,Green,fit
trio-001G.fit,trio-001,Green,fit
TB1-G.fit,TB1-,Green,fit
Stack-G.fit,Stack-,Green,fit
sh157-003G.fit,sh157-003,Green,fit
sh157-002G.fit,sh157-002,Green,fit
sh157-001G.fit,sh157-001,Green,fit
RR-004G.fit,RR-004,Green,fit
RR-003G.fit,RR-003,Green,fit
RR-002G.fit,RR-002,Green,fit
RR-001G.fit,RR-001,Green,fit
RR-001G.fit,RR-001,Green,fit
ofNGC891-002G.fit,ofNGC891-002,Green,fit
NGC891-003G.fit,NGC891-003,Green,fit
NGC7635-004G.fit,NGC7635-004,Green,fit
NGC7635-003G.fit,NGC7635-003,Green,fit
NGC7635-002G.fit,NGC7635-002,Green,fit
NGC7635-001G.fit,NGC7635-001,Green,fit
NGC7023-005G.fit,NGC7023-005,Green,fit
NGC7023-004G.fit,NGC7023-004,Green,fit
NGC7023-003G.fit,NGC7023-003,Green,fit
NGC7023-002G.fit,NGC7023-002,Green,fit
NGC7023-001G.fit,NGC7023-001,Green,fit
NGC3718-008G.fit,NGC3718-008,Green,fit
NGC3718-007G.fit,NGC3718-007,Green,fit
NGC3718-006G.fit,NGC3718-006,Green,fit
NGC3718-005G.fit,NGC3718-005,Green,fit
NGC3718-004G.fit,NGC3718-004,Green,fit
NGC3718-003G.fit,NGC3718-003,Green,fit
NGC3718-002G.fit,NGC3718-002,Green,fit
NGC3718-001G.fit,NGC3718-001,Green,fit
NGC3190-002G.fit,NGC3190-002,Green,fit
NGC3190-001G.fit,NGC3190-001,Green,fit
NGC2903-004G.fit,NGC2903-004,Green,fit
